file,baseline,homogeneous_blur,gaussian_blur,median_blur,bilateral_filtering,adaptive_threshold,simple_threshold,otsu_threshold,triangle_threshold,erosion,opening,closing,morphological_gradient,top_hat,black_hat
PT-TT-SNI-DSC-35-7-7549_m0290,73.75,73.75,57.92,2.7,76.83,71.43,74.9,74.9,67.95,73.75,73.75,73.75,51.35,63.32,67.57
PT-TT-SNI-DSC-35-7-7694_m0398,65.14,65.14,38.0,2.29,70.57,70.29,75.71,62.57,51.43,65.14,65.14,65.14,50.29,69.71,62.86
PT-TT-SNI-DSC-35-7-7726_m0433,90.95,90.95,89.52,76.74,89.81,90.81,89.23,91.31,89.3,90.95,90.95,90.95,81.69,90.95,90.31
PT-TT-SNI-DSC-35-7-7792_m0494,88.62,88.62,86.57,46.68,85.93,74.68,87.85,89.0,85.93,88.62,88.62,88.62,75.96,88.62,87.21
PT-TT-SNI-DSC-35-7-7818_m0518,70.25,70.25,78.5,31.22,83.65,80.85,78.06,70.1,80.41,70.25,70.25,70.25,69.66,78.65,75.7
PT-TT-SNI-DSC-35-7-7843_m0543,88.2,88.2,88.2,74.46,86.03,86.25,88.43,87.63,89.0,88.2,88.2,88.2,74.8,88.2,84.77
PT-TT-SNI-DSC-35-7-7872_m0573,78.66,78.66,75.73,17.57,78.66,69.46,75.73,78.66,76.99,78.66,78.66,78.66,66.95,78.66,67.78
PT-TT-SNI-DSC-35-7-7968_m0665,86.18,86.18,86.65,38.13,77.88,84.08,83.32,86.27,88.94,86.18,86.18,86.18,80.36,86.18,85.61
PT-TT-SNI-DSC-35-7-7968_m0666,78.1,78.1,83.17,22.22,79.37,83.17,79.37,80.32,86.98,78.1,78.1,78.1,65.71,78.1,72.7
PT-TT-SNI-DSC-35-7-8032_m0720,75.34,75.34,74.66,37.67,80.14,67.47,83.22,75.0,72.6,75.34,75.34,75.34,56.16,75.34,77.4
PT-TT-SNI-DSC-35-7-8102_m0784,76.93,76.93,82.14,48.95,76.93,70.04,79.75,76.51,81.29,76.93,76.93,76.93,74.26,76.93,78.62
PT-TT-SNI-DSC-35-7-8105_m0787,86.23,86.23,86.42,22.7,87.49,86.91,87.2,85.84,89.82,86.23,86.23,86.23,79.34,86.23,86.52
PT-TT-SNI-DSC-35-7-8150_m0825,85.51,85.51,80.84,6.54,85.51,80.61,85.05,85.98,85.05,85.51,85.51,85.51,75.23,85.51,79.91
PT-TT-SNI-DSC-35-7-8197_m0866,85.54,85.54,87.73,0.09,87.2,86.06,85.1,85.45,78.53,85.54,85.54,85.54,81.24,88.08,83.61
PT-TT-SNI-DSC-35-7-8197_m0867,74.59,74.59,62.98,0.55,74.03,46.41,50.83,70.17,81.22,74.59,74.59,74.59,49.17,67.4,77.9
PT-TT-SNI-DSC-35-7-8252_m0900,68.34,68.34,66.23,14.78,67.02,74.93,67.02,68.6,62.27,68.34,68.34,68.34,64.38,67.55,67.81
PT-TT-SNI-DSC-35-7-8268_m0914,83.8,83.8,83.6,64.39,82.7,79.38,82.19,84.21,84.0,83.8,83.8,83.8,75.15,83.8,84.21
PT-TT-SNI-DSC-35-7-8341_m0976,82.79,82.79,68.67,64.61,80.36,73.21,80.84,82.63,84.25,82.79,82.79,82.79,64.77,82.79,79.06
PT-TT-SNI-DSC-35-7-8360_m0998,37.95,37.95,49.08,27.46,40.97,53.3,36.97,39.78,36.43,37.95,37.95,37.95,15.89,37.95,40.22
PT-TT-SNI-DSC-35-7-8361_m0999,73.85,73.85,80.04,14.67,73.95,75.45,80.04,73.05,80.44,73.85,73.85,73.85,71.96,73.85,72.75
PT-TT-SNI-DSC-35-7-8361_m1000,76.53,76.53,70.74,4.5,74.28,60.77,72.03,75.24,75.56,76.53,76.53,76.53,45.98,77.81,65.92
PT-TT-SNI-DSC-35-7-8405_m1048,71.19,71.19,77.01,1.34,72.24,65.52,70.75,71.64,78.36,71.19,71.19,71.19,57.61,71.19,66.72
PT-TT-SNI-DSC-35-7-8409_m1052,71.9,71.9,73.82,58.37,73.44,69.48,81.35,72.16,81.99,71.9,71.9,71.9,60.41,71.9,66.54
PT-TT-SNI-DSC-35-7-8480_m1121,71.61,71.61,73.05,26.8,70.61,63.54,76.08,71.18,74.64,71.61,71.61,71.61,55.19,71.61,70.46
PT-TT-SNI-DSC-35-7-8510_m1158,54.09,54.09,57.63,7.94,66.06,59.46,67.16,52.99,72.41,54.09,54.09,54.09,54.82,54.09,56.41
PT-TT-SNI-DSC-35-7-8518_m1169,69.84,69.84,74.29,17.98,71.32,47.1,65.97,70.73,64.49,69.84,69.84,69.84,34.92,69.84,69.54
PT-TT-SNI-DSC-35-7-8658_m1303,86.92,86.92,86.64,3.29,84.48,79.4,87.21,86.17,87.21,86.92,86.92,86.92,55.22,88.62,84.85
PT-TT-SNI-DSC-35-7-8658_m1304,79.2,79.2,80.4,2.8,75.6,72.8,78.8,80.0,80.4,79.2,79.2,79.2,56.4,78.8,75.6
PT-TT-SNI-DSC-35-7-8658_m1305,76.7,76.7,81.44,77.84,86.55,85.04,81.25,76.7,87.31,76.7,76.7,76.7,84.47,87.88,79.92
PT-TT-SNI-DSC-35-7-8687_m1338,83.19,83.19,82.63,19.89,80.67,81.23,78.43,84.31,78.99,83.19,83.19,83.19,55.74,78.71,79.83
PT-TT-SNI-DSC-35-8-231_m0084,75.68,75.68,83.9,73.43,84.38,74.07,79.23,74.56,87.44,75.68,75.68,75.68,57.97,74.88,74.88
PT-TT-SNI-DSC-35-8-270_m0112,55.7,55.7,76.22,26.71,69.06,52.44,62.21,56.03,71.34,55.7,55.7,55.7,20.52,62.21,70.68
PT-TT-SNI-DSC-35-8-4007_m0214,70.68,70.68,74.38,11.73,72.22,46.6,71.91,70.68,61.11,70.68,70.68,70.68,47.84,53.7,69.44
PT-TT-SNI-DSC-35-8-4012_m0219,90.85,90.85,92.31,67.57,91.48,85.24,87.32,90.02,88.36,90.85,90.85,90.85,68.19,90.85,85.65
PT-TT-SNI-DSC-35-8-4013_m0220,79.34,79.34,80.99,67.15,77.07,76.24,73.55,78.51,80.37,79.34,79.34,79.34,59.3,79.34,78.72
PT-TT-SNI-DSC-35-8-4115_m0294,60.59,60.59,78.18,40.72,74.27,60.91,61.56,61.89,71.66,60.59,60.59,60.59,28.66,65.15,59.93
PT-TT-SNI-DSC-35-8-4124_m0303,82.36,82.36,79.5,67.94,82.36,73.18,79.98,81.29,81.64,82.36,82.36,82.36,49.7,82.36,82.24
PT-TT-SNI-DSC-35-8-4201_m0374,63.67,63.67,72.67,26.69,75.88,55.63,67.52,63.34,54.66,63.67,63.67,63.67,44.69,72.67,67.85
PT-TT-SNI-DSC-35-8-4202_m0375,56.2,56.2,48.28,7.65,67.55,51.45,69.66,54.62,47.76,56.2,56.2,56.2,30.87,55.67,51.72
PT-TT-SNI-DSC-35-8-4203_m0376,59.51,59.51,60.43,23.93,58.59,65.64,60.12,60.12,58.9,59.51,59.51,59.51,34.36,57.36,64.72
PT-TT-SNI-DSC-35-8-4228_m0405,66.82,66.82,66.11,11.85,66.11,66.11,51.42,65.17,48.58,66.82,66.82,66.82,56.4,75.59,67.77
PT-TT-SNI-DSC-35-8-4229_m0406,65.81,65.81,64.84,5.21,75.0,76.24,52.83,65.64,11.84,65.81,65.81,65.81,46.91,73.85,69.79
PT-TT-SNI-DSC-35-8-9303_m0451,91.49,91.49,91.75,76.96,92.0,89.94,92.09,91.23,92.26,91.49,91.49,91.49,79.36,91.49,90.03
PT-TT-SNI-DSC-35-8-9303_m0452,77.3,77.3,72.39,34.97,74.85,72.09,73.01,75.46,72.7,77.3,77.3,77.3,53.68,77.3,75.46
PT-TT-SNI-DSC-35-8-9320_m0475,64.16,64.16,68.58,19.91,64.6,60.62,63.27,59.73,72.57,64.16,64.16,64.16,50.0,85.84,84.51
PT-TT-SNI-DSC-9-84_m0123,77.05,77.05,59.96,33.86,73.23,74.24,58.04,75.93,65.69,77.05,77.05,77.05,60.18,64.9,85.49
PT-TT-SNI-DGE-1-1068_m0001,6.7,13.92,26.45,11.14,4.18,30.63,3.48,6.03,14.62,3.48,29.23,3.48,0.23,3.71,25.06
PT-TT-SNI-DGE-1-1068_m0003,37.43,39.66,43.02,35.2,29.05,22.35,37.43,38.55,21.79,37.43,31.84,37.43,0.56,18.44,7.26
PT-TT-SNI-DGE-1-1549_m0001,0.0,24.21,21.23,22.02,23.02,0.0,24.6,25.0,20.83,24.6,22.02,24.6,0.0,21.23,20.04
PT-TT-SNI-DGE-1-1549_m0008,50.82,0.28,13.07,10.51,34.09,59.38,36.08,36.93,73.58,36.08,44.6,36.08,0.28,61.36,65.62
PT-TT-SNI-DGE-1-2057_m0001,0.0,21.7,22.08,19.25,30.0,24.72,28.3,28.68,30.94,28.3,24.72,28.3,0.19,33.02,33.77
PT-TT-SNI-DGE-1-2057_m0002,58.82,51.96,48.04,50.0,60.78,68.63,58.82,59.8,39.22,58.82,62.75,58.82,0.98,46.08,69.61
PT-TT-SNI-DGE-1-2862_m0002,0.0,19.25,34.42,27.08,25.94,11.58,33.12,31.65,26.26,33.12,32.79,33.12,0.16,24.63,23.16
PT-TT-SNI-DGE-1-3764_m0012,26.05,13.97,11.62,24.68,20.51,38.48,12.7,12.52,29.04,12.7,15.25,12.7,0.18,13.61,23.23
PT-TT-SNI-DGE-1-4370_m0001,0.0,46.25,41.25,42.5,43.75,48.75,31.25,30.0,55.0,31.25,42.5,31.25,0.0,71.25,1.25
PT-TT-SNI-DGE-1-4370_m0004,4.88,30.37,27.27,29.4,19.92,33.08,22.24,22.24,38.68,22.24,18.18,22.24,0.19,18.18,31.53
PT-TT-SNI-DGE-1-4605_m0006,12.22,6.61,14.49,14.65,3.46,39.21,0.16,3.46,21.42,3.46,5.98,3.46,0.16,29.76,44.25
PT-TT-SNI-DGE-1-4653_m0002,11.26,15.64,9.77,9.77,16.61,27.85,17.43,18.57,29.8,17.43,14.98,17.43,0.16,22.64,29.64
PT-TT-SNI-DGE-1-4998_m0008,0.0,17.16,20.48,25.46,20.85,10.89,21.03,19.74,0.18,21.03,23.99,21.03,0.18,12.92,17.9
PT-TT-SNI-DGE-1-5107_m0001,0.0,11.96,1.09,10.87,13.04,8.7,10.87,11.96,17.39,10.87,1.09,10.87,0.0,19.57,11.96
PT-TT-SNI-DGE-1-5527_m0001,54.22,52.96,50.37,50.37,45.56,44.81,45.19,45.56,38.15,45.19,50.0,45.19,0.37,47.78,54.81
PT-TT-SNI-DGE-1-5964_m0007,0.0,16.38,9.32,3.67,21.19,0.0,20.9,21.19,0.28,20.9,7.63,20.9,0.0,21.47,12.99
PT-TT-SNI-DGE-1-601-A_m0003,18.18,9.09,3.64,50.91,12.73,47.27,18.18,21.82,1.82,18.18,14.55,18.18,1.82,25.45,43.64
PT-TT-SNI-DGE-1-601-A_m0020,25.88,21.66,21.66,25.82,18.99,46.29,21.36,21.36,13.95,21.36,24.04,21.36,0.3,18.99,27.3
PT-TT-SNI-DGE-1-6109_m0001,18.4,11.27,6.0,13.91,17.27,29.02,16.79,16.55,5.28,16.79,27.82,16.79,0.24,31.41,35.01
PT-TT-SNI-DGE-1-618_m0001,20.25,4.91,0.61,8.59,30.06,57.06,20.25,23.31,12.27,20.25,20.86,20.25,0.61,31.9,3.68
PT-TT-SNI-DGE-1-6745_m0014,0.88,0.25,0.25,0.25,0.25,29.38,0.25,0.25,0.25,0.25,0.25,0.25,0.25,18.27,24.94
PT-TT-SNI-DGE-1-7208_m0014,69.57,67.72,70.9,66.14,70.9,66.67,65.61,65.61,67.2,65.61,75.13,65.61,0.53,69.31,68.78
PT-TT-SNI-DGE-1-7251_m0002,18.42,43.14,47.06,44.61,11.76,36.76,0.49,21.57,43.14,24.51,28.43,24.51,0.49,18.63,2.45
PT-TT-SNI-DGE-1-742_m0001,0.0,21.85,27.37,30.24,30.24,27.37,24.28,25.17,26.93,24.28,25.17,24.28,0.22,29.8,49.67
PT-TT-SNI-DGE-1-7968_m0001,0.76,16.79,0.0,13.74,1.53,64.12,0.76,0.76,25.19,0.76,19.08,0.76,0.76,0.0,50.38
PT-TT-SNI-DGE-1-7968_m0007,25.25,21.02,21.94,24.71,20.55,41.11,15.47,14.78,22.63,15.47,34.18,15.47,0.23,40.18,48.04
PT-TT-SNI-DGE-1-8273_m0001,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,18.52
PT-TT-SNI-DGE-1-8273_m0002,18.99,0.56,0.56,0.56,32.96,85.47,18.99,18.99,87.15,18.99,42.46,18.99,0.56,72.63,78.77
PT-TT-SNI-DGE-1-8678_m0006,0.0,12.94,21.68,0.0,16.43,30.77,12.94,12.59,10.14,12.94,13.64,12.94,0.35,32.87,12.24
PT-TT-SNI-DGE-1-8692_m0006,61.86,17.89,23.75,14.96,21.99,34.6,20.82,20.82,23.17,20.82,14.96,20.82,0.29,19.94,18.18
PT-TT-SNI-DSC-35-1-1623A_m0105,52.63,53.95,50.0,38.82,55.26,57.89,52.63,52.63,37.5,38.16,40.13,52.63,9.87,38.16,55.26
PT-TT-SNI-DSC-35-1-1623_m0104,85.5,88.55,88.55,90.08,82.44,89.31,85.5,83.21,77.1,52.67,52.67,85.5,33.59,82.44,80.15
PT-TT-SNI-DSC-35-1-1649_m0131,82.52,78.64,79.61,73.79,74.76,74.76,82.52,80.58,70.87,73.79,74.76,82.52,43.69,66.02,76.7
PT-TT-SNI-DSC-35-1-1703_m0185,80.15,87.02,77.86,77.86,80.92,77.1,80.15,78.63,77.1,79.39,79.39,80.15,47.33,71.76,90.84
PT-TT-SNI-DSC-35-1-1804_m0284,78.01,56.74,68.79,73.05,76.6,56.03,78.01,73.76,52.48,69.5,75.89,78.01,46.1,56.03,58.16
PT-TT-SNI-DSC-35-1-1950_m0436,83.9,77.12,76.69,90.68,83.47,83.05,83.9,81.78,86.44,86.02,87.71,83.9,60.59,89.83,83.9
PT-TT-SNI-DSC-35-1-1955_m0441,87.26,87.7,88.46,87.58,87.14,85.94,87.26,85.18,0.06,86.13,87.58,87.26,49.94,87.26,88.34
PT-TT-SNI-DSC-35-1-1955_m0442,85.38,80.7,79.53,77.19,90.06,78.95,85.38,81.29,0.58,80.12,87.13,85.38,36.26,77.19,77.78
PT-TT-SNI-DSC-35-1-1985_m0471,86.45,44.62,69.12,76.89,85.86,86.25,86.45,77.29,85.26,89.04,87.25,86.45,60.76,85.66,87.45
PT-TT-SNI-DSC-35-1-2039_m0525,5.92,0.07,0.07,0.07,3.58,78.87,5.92,5.85,86.99,6.43,1.68,5.92,59.58,43.93,86.4
PT-TT-SNI-DSC-35-1-2043_m0529,86.59,79.88,74.39,65.85,86.59,71.95,86.59,84.76,72.56,85.98,84.76,86.59,32.32,86.59,76.83
PT-TT-SNI-DSC-35-1-2076_m0565,65.22,83.48,90.43,88.7,91.3,89.57,65.22,60.0,77.39,87.83,86.96,65.22,64.35,80.87,88.7
PT-TT-SNI-DSC-35-1-2082_m0571,66.82,35.55,45.5,45.02,62.56,64.93,66.82,59.72,66.82,63.03,71.56,66.82,54.98,68.72,72.51
PT-TT-SNI-DSC-35-1-2086_m0575,74.61,5.23,15.12,40.5,63.76,86.43,74.61,68.22,86.24,86.63,83.33,74.61,33.72,76.16,88.95
PT-TT-SNI-DSC-35-3-1052_m0799,22.0,1.0,1.0,1.0,12.0,78.0,22.0,14.0,47.0,38.0,20.0,22.0,35.0,76.0,88.0
PT-TT-SNI-DSC-35-3-113_m0041,86.37,85.28,88.96,88.7,87.2,84.5,86.37,84.4,79.47,87.97,87.92,86.37,35.36,86.37,85.69
PT-TT-SNI-DSC-35-3-1260_m0995,82.65,81.75,81.93,76.92,89.8,79.61,82.65,80.5,77.64,76.92,90.88,82.65,65.65,82.11,82.47
PT-TT-SNI-DSC-35-3-1278_m1012,89.15,90.03,82.4,84.46,88.86,81.52,89.15,89.74,81.52,86.8,88.27,89.15,74.78,83.28,86.22
PT-TT-SNI-DSC-35-3-1280_m1014,91.88,90.69,87.0,86.71,86.26,88.33,91.88,90.4,80.21,89.81,89.96,91.88,48.01,89.66,88.77
PT-TT-SNI-DSC-35-3-1337B_m1071,0.23,0.23,0.23,0.23,0.23,80.97,3.02,0.23,71.69,0.23,8.35,0.23,57.31,48.03,72.85
PT-TT-SNI-DSC-35-3-133_m0060,60.5,11.56,25.83,20.4,64.27,83.14,60.5,56.01,82.43,81.37,73.0,60.5,59.08,83.61,84.32
PT-TT-SNI-DSC-35-3-1361_m1095,81.9,50.48,74.29,65.71,92.38,69.52,81.9,78.1,58.1,90.48,66.67,81.9,41.9,77.14,81.9
PT-TT-SNI-DSC-35-3-1381_m1115,63.64,0.35,32.17,22.73,70.63,81.12,63.64,52.1,68.18,77.27,73.08,63.64,45.8,72.38,72.03
PT-TT-SNI-DSC-35-3-1382_m1116,66.21,35.86,41.38,29.31,69.31,64.48,66.21,54.48,61.38,65.86,68.62,66.21,53.1,60.34,64.14
PT-TT-SNI-DSC-35-3-1387_m1121,58.19,2.2,14.91,16.38,60.39,77.02,53.55,49.39,78.73,72.37,78.48,58.19,58.19,61.12,83.13
PT-TT-SNI-DSC-35-3-1412_m1144,71.21,8.57,48.13,25.49,69.67,78.46,71.21,61.1,76.48,77.8,71.87,71.21,61.76,73.19,72.09
PT-TT-SNI-DSC-35-3-1412_m1145,81.59,80.32,80.95,80.63,83.49,80.63,81.9,79.05,73.97,85.08,84.13,81.59,65.4,84.13,84.44
PT-TT-SNI-DSC-35-3-1432_m1163,30.0,1.11,8.89,10.0,32.22,73.33,30.0,27.78,57.78,35.56,76.67,30.0,28.89,46.67,70.0
PT-TT-SNI-DSC-35-3-166_m0087,94.43,90.4,90.4,87.62,88.24,90.4,94.43,91.02,81.73,86.38,91.64,94.43,41.49,93.81,91.64
PT-TT-SNI-DSC-35-3-399_m0168,87.31,86.0,85.56,84.46,85.34,84.9,87.31,84.46,81.4,86.87,86.43,87.31,61.05,87.75,84.68
PT-TT-SNI-DSC-35-3-463_m0231,79.44,78.89,85.0,84.44,79.44,71.67,79.44,79.44,66.11,76.11,83.33,79.44,52.78,76.67,83.89
PT-TT-SNI-DSC-35-3-572_m0329,88.64,68.18,78.41,68.18,88.64,88.64,88.64,85.23,73.86,86.36,87.5,88.64,73.86,75.0,86.36
PT-TT-SNI-DSC-35-3-578_m0335,89.47,89.62,90.99,89.47,89.47,89.04,89.4,89.47,84.21,89.4,90.19,89.47,76.35,89.62,90.48
PT-TT-SNI-DSC-35-3-590_m0346,82.02,67.42,53.93,47.19,74.16,60.67,82.02,79.78,62.92,71.91,80.9,82.02,51.69,73.03,77.53
PT-TT-SNI-DSC-35-3-591_m0347,90.12,89.85,88.34,90.53,86.01,86.15,89.85,88.75,82.85,87.93,90.12,90.12,71.88,90.12,89.16
PT-TT-SNI-DSC-35-3-591_m0348,91.07,83.93,87.5,82.14,82.14,35.71,91.07,91.07,60.71,87.5,87.5,91.07,46.43,85.71,82.14
PT-TT-SNI-DSC-35-3-605_m0362,85.37,58.54,76.83,75.61,85.37,82.93,85.37,82.93,71.95,85.37,80.49,85.37,34.15,62.2,80.49
PT-TT-SNI-DSC-35-3-607_m0364,40.58,44.93,37.68,75.36,46.38,43.48,40.58,40.58,79.71,39.13,81.16,40.58,13.04,1.45,43.48
PT-TT-SNI-DSC-35-3-616_m0373,85.78,88.3,89.93,90.67,89.78,88.74,85.78,85.19,72.59,81.19,90.67,85.78,2.37,84.74,86.52
PT-TT-SNI-DSC-35-3-667_m0421,90.24,86.03,89.73,87.88,88.22,84.18,90.24,88.38,56.57,85.86,90.24,90.24,64.48,90.24,90.24
